code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
600706,2017-04-28,S,16.21,0.8,0.0107,0.0237,0.0,1R,-1.015,-1.015,1.0,direct_1r
002268,2017-05-02,S,19.55,0.9,-0.0105,0.0714,0.0,1R,-1.016,-1.016,1.0,direct_1r
300001,2017-05-02,S,16.52,0.75,0.0055,0.0689,0.0,1R,-1.016,-1.016,1.0,direct_1r
600292,2017-05-04,S,11.86,0.61,0.0316,-0.0683,0.0,1R,-1.014,-1.014,1.0,direct_1r
600897,2017-05-04,S,13.48,0.54,-0.0025,0.0195,0.0,1R,0.29,0.29,1.0,direct_1r
000669,2017-05-09,S,11.93,0.59,-0.002,0.0262,0.0,1R,-1.015,-1.015,1.0,direct_1r
002643,2017-05-09,S,12.88,0.57,0.0346,-0.0133,0.0,1R,-1.017,-1.017,1.0,direct_1r
600292,2017-05-11,S,11.86,0.61,-0.0066,0.0454,0.0,1R,-1.014,-1.014,1.0,direct_1r
600004,2017-05-12,S,10.41,0.51,0.0167,0.0352,0.0,1R,-1.015,-1.015,1.0,direct_1r
000669,2017-05-16,S,11.93,0.59,0.0025,0.0262,0.0,1R,-1.015,-1.015,1.0,direct_1r
002643,2017-05-16,S,12.88,0.57,0.1,0.0197,0.0,1R,-1.017,-1.017,1.0,direct_1r
600566,2017-05-16,S,22.73,1.15,0.0434,0.0006,0.0,1R,2.106,2.106,1.0,direct_1r
002223,2017-05-17,S,19.85,0.98,-0.0033,0.0713,0.0,1R,-0.005,-0.005,1.0,direct_1r
002232,2017-05-17,S,12.1,0.51,0.0301,-0.0007,0.0,1R,0.116,0.116,1.0,direct_1r
603369,2017-05-19,S,10.89,0.54,-0.0049,0.0207,0.0,1R,-0.024,-0.024,1.0,direct_1r
002232,2017-05-24,S,12.1,0.51,0.016,0.0207,0.0,1R,-0.746,-0.746,1.0,direct_1r
002142,2017-05-25,S,10.49,0.54,0.0382,-0.0044,0.0,1R,0.572,0.572,1.0,direct_1r
002019,2017-05-31,S,13.78,0.66,-0.0055,0.0102,0.0,1R,1.861,1.861,1.0,direct_1r
600332,2017-06-05,S,23.37,1.06,-0.0157,0.0288,0.0,1R,0.559,0.559,1.0,direct_1r
002597,2017-06-08,S,16.19,0.77,-0.0035,0.0213,0.0,1R,1.793,1.793,1.0,direct_1r
600498,2017-06-08,S,20.63,1.07,0.0039,0.0165,0.0,1R,1.908,1.908,1.0,direct_1r
603589,2017-06-09,S,28.17,1.08,0.0167,0.0199,0.0,1R,1.068,1.068,1.0,direct_1r
000998,2017-06-13,S,21.14,1.01,-0.0069,0.0475,0.0,1R,0.744,0.744,1.0,direct_1r
600335,2017-06-13,S,10.61,0.54,0.0127,-0.0059,0.0,1R,-0.335,-0.335,1.0,direct_1r
000581,2017-06-15,S,14.34,0.61,0.0026,0.039,0.0,1R,2.541,2.541,1.0,direct_1r
600729,2017-06-15,S,15.99,0.76,-0.0008,0.0322,0.0,1R,0.142,0.142,1.0,direct_1r
600420,2017-06-16,S,14.16,0.61,-0.0096,0.0344,0.0,1R,-1.017,-1.017,1.0,direct_1r
002142,2017-06-19,S,10.79,0.51,0.0045,0.0127,0.0,1R,3.819,3.819,1.0,direct_1r
600085,2017-06-19,S,29.67,1.16,0.0037,0.0522,0.0,1R,-0.884,-0.884,1.0,direct_1r
002583,2017-06-20,S,15.14,0.51,-0.0059,0.0239,0.0,1R,1.327,1.327,1.0,direct_1r
000400,2017-06-21,S,15.79,0.73,-0.0059,0.0269,0.0,1R,-0.01,-0.01,1.0,direct_1r
600315,2017-06-21,S,27.18,1.04,0.0109,0.0042,0.0,1R,1.295,1.295,1.0,direct_1r
600056,2017-06-23,S,15.61,0.63,0.0028,0.0308,0.0,1R,-1.018,-1.018,1.0,direct_1r
000756,2017-06-26,S,9.93,0.52,0.0662,0.0027,0.0,1R,-0.134,-0.134,1.0,direct_1r
000998,2017-06-27,S,20.86,0.89,-0.0122,0.0475,0.0,1R,1.661,1.661,1.0,direct_1r
002583,2017-07-04,S,15.4,0.77,0.0213,0.0147,0.0,1R,1.21,1.21,1.0,direct_1r
002142,2017-07-10,S,10.74,0.52,-0.0297,0.0432,0.0,1R,2.154,2.154,1.0,direct_1r
601969,2017-07-19,S,10.43,0.53,0.0551,-0.0017,0.0,1R,0.513,0.513,1.0,direct_1r
300463,2017-07-21,S,23.65,1.06,-0.0107,0.0158,0.0,1R,-0.25,-0.25,1.0,direct_1r
000999,2017-07-25,S,14.27,0.62,-0.0271,0.0322,0.0,1R,0.035,0.035,1.0,direct_1r
000513,2017-07-26,S,22.03,1.08,-0.0159,0.0239,0.0,1R,-0.24,-0.24,1.0,direct_1r
000792,2017-07-27,S,10.75,0.52,-0.0073,0.0284,0.0,1R,0.619,0.619,1.0,direct_1r
300050,2017-07-31,S,10.36,0.52,0.0318,-0.0183,0.0,1R,-1.015,-1.015,1.0,direct_1r
600872,2017-07-31,S,16.7,0.77,0.0314,0.0011,0.0,1R,3.274,3.274,1.0,direct_1r
300476,2017-08-03,S,12.4,0.59,0.1,-0.0453,0.0,1R,1.802,1.802,1.0,direct_1r
603188,2017-08-03,S,18.66,0.94,0.0328,-0.0005,0.0,1R,-1.014,-1.014,1.0,direct_1r
002048,2017-08-04,S,15.02,0.71,-0.0157,0.0444,0.0,1R,1.379,1.379,1.0,direct_1r
600990,2017-08-04,S,34.65,1.45,0.0486,0.0217,0.0,1R,-1.018,-1.018,1.0,direct_1r
002038,2017-08-08,S,16.26,0.71,-0.0081,0.0727,0.0,1R,1.022,1.022,1.0,direct_1r
300003,2017-08-08,S,19.49,0.97,0.0063,0.0213,0.0,1R,1.303,1.303,1.0,direct_1r
603919,2017-08-08,S,13.05,0.64,-0.0157,0.0299,0.0,1R,0.986,0.986,1.0,direct_1r
000400,2017-08-09,S,16.25,0.81,0.0043,0.0403,0.0,1R,-0.337,-0.337,1.0,direct_1r
600315,2017-08-09,S,29.28,1.24,0.0072,0.038,0.0,1R,-1.017,-1.017,1.0,direct_1r
000860,2017-08-14,S,15.49,0.65,0.0467,0.0023,0.0,1R,-1.017,-1.017,1.0,direct_1r
600315,2017-08-16,S,28.85,1.1,0.0053,0.038,0.0,1R,-0.616,-0.616,1.0,direct_1r
002326,2017-08-17,S,12.46,0.64,0.0042,0.0399,0.0,1R,0.423,0.423,1.0,direct_1r
000756,2017-08-21,S,10.68,0.51,0.0618,-0.0006,0.0,1R,0.199,0.199,1.0,direct_1r
