code,date,grade,r,entry,cause
600585,2020-12-10,S,-2.66,42.39,fade_high
002886,2021-01-14,S,-0.27,14.59,slow_draw
002268,2021-01-21,S,-0.44,17.23,fade_high
601088,2021-02-01,S,0.45,12.07,slow_draw
002734,2021-02-18,S,0.44,10.96,slow_draw
000935,2021-02-19,S,0.89,12.57,slow_draw
600585,2021-02-19,S,0.2,38.57,slow_draw
000997,2021-02-23,S,-2.16,13.79,fade_high
000651,2021-03-03,S,0.02,41.99,slow_draw
000581,2021-03-11,S,-0.45,17.77,slow_draw
002222,2021-03-11,S,4.63,11.47,slow_draw
300036,2021-04-30,S,13.9,16.44,slow_draw
000063,2021-05-20,S,2.1,27.09,slow_draw
000063,2021-05-27,S,2.2,27.41,slow_draw
603590,2021-06-02,S,-0.56,35.41,slow_draw
002930,2021-06-03,S,1.13,14.32,slow_draw
300723,2021-06-08,S,6.16,18.03,fade_high
002151,2021-06-17,S,-0.96,43.61,slow_draw
000063,2021-07-02,S,3.53,30.79,fade_high
002741,2021-07-07,S,7.02,15.99,slow_draw
300625,2021-07-29,S,-1.58,13.5,slow_draw
300348,2021-07-30,S,-1.27,16.54,fade_high
603131,2021-07-30,S,9.54,16.84,slow_draw
000401,2021-08-04,S,1.14,11.06,slow_draw
300348,2021-08-06,S,-1.07,16.54,fade_high
600585,2021-08-06,S,3.04,31.04,fade_high
600371,2021-08-31,S,-0.67,10.94,slow_draw
688550,2021-09-09,S,-0.63,32.28,jump_gap
600990,2021-09-10,S,4.68,24.24,fade_high
000777,2021-09-13,S,-0.18,11.04,limit_down
002946,2021-09-17,S,0.78,14.25,limit_down
600990,2021-09-17,S,3.91,24.15,fade_high
000777,2021-09-22,S,-1.44,11.16,limit_down
600990,2021-09-28,S,3.91,24.15,fade_high
600566,2021-10-18,S,0.98,13.63,fade_high
600184,2021-10-19,S,5.09,11.96,slow_draw
600990,2021-10-19,S,6.79,24.15,slow_draw
000977,2021-10-22,S,1.69,30.35,slow_draw
600566,2021-10-25,S,0.98,13.63,fade_high
600184,2021-10-26,S,0.38,11.55,slow_draw
603108,2021-10-26,S,2.49,10.96,fade_high
000026,2021-10-29,S,-1.01,10.59,slow_draw
000977,2021-10-29,S,1.24,30.96,slow_draw
600566,2021-11-01,S,2.27,12.81,slow_draw
002695,2021-11-03,S,-0.39,13.56,slow_draw
605222,2021-11-03,S,3.56,21.07,fade_high
600104,2021-11-05,S,-0.58,18.45,slow_draw
